experience,test_score,education,salary
1,55,BCA,25000
2,58,BCA,28000
3,60,BCA,31000
4,63,BCA,34000
5,66,BCA,37000
6,69,BCA,40000
7,72,BCA,43000
8,75,BCA,46000
9,78,BCA,49000
10,81,BCA,52000
11,84,BCA,55000
12,87,BCA,58000
13,90,BCA,61000
14,92,BCA,64000
15,95,BCA,67000
16,96,BCA,70000
17,97,BCA,73000
18,98,BCA,76000
1,56,BTech,30000
2,59,BTech,33000
3,62,BTech,37000
4,65,BTech,41000
5,68,BTech,45000
6,71,BTech,49000
7,74,BTech,53000
8,77,BTech,57000
9,80,BTech,61000
10,83,BTech,65000
11,86,BTech,69000
12,89,BTech,73000
13,92,BTech,77000
14,94,BTech,81000
15,96,BTech,85000
16,97,BTech,89000
17,98,BTech,93000
18,99,BTech,97000
1,57,MCA,35000
2,60,MCA,39000
3,63,MCA,43000
4,66,MCA,47000
5,69,MCA,51000
6,72,MCA,55000
7,75,MCA,59000
8,78,MCA,63000
9,81,MCA,67000
10,84,MCA,71000
11,87,MCA,75000
12,90,MCA,79000
13,93,MCA,83000
14,95,MCA,87000
15,97,MCA,91000
16,98,MCA,95000
17,99,MCA,99000
1,58,MBA,40000
2,61,MBA,45000
3,64,MBA,50000
4,67,MBA,55000
5,70,MBA,60000
6,73,MBA,65000
7,76,MBA,70000
8,79,MBA,75000
9,82,MBA,80000
10,85,MBA,85000
11,88,MBA,90000
12,91,MBA,95000
13,94,MBA,100000
14,96,MBA,105000
15,98,MBA,110000
16,99,MBA,115000
17,100,MBA,120000
